ID,CourseName,Instructor,Building,Time
241 M4070-01,海洋化學組專題討論,簡嘉德,海研232,(二) 13:20~14:20
241 M4070-02,海洋化學組專題討論,簡嘉德,海研232,(二) 15:30~16:30
241 M4130,生物元素比生態學,何珮綺,海研115,(二) 13:20~14:20
241 M4150,海洋生態地化專題研究(二),鍾明宗,海研110教室,(一) 8:10~9:10
241 M4190,海域測量概論,陳姿婷,海研110教室,(三) 13:20~14:20
241 U0010,海洋地質概論,何亞倫,海研大講堂,(二) 11:20~11:20
241 U0750-01,海洋科學概論,楊穎堅,海研大講堂,(五) 10:20~11:20
241 U0750-02,海洋科學概論,楊穎堅,海研大講堂,(五) 13:20~14:20
241 U1140,應用地球物理學,許鶴瀚,海研232,(三) 13:20~14:20
241 U1760,物理海洋概論,楊穎堅,海研大講堂,(一) 13:20~13:20
241 U1850,生物地球化學導論,王珮玲,海研115,(三) 13:20~14:20
241 U1870,海洋溶解有機物導論,卜詩安,海研115,(五) 10:20~11:20
241 U1910,生物海洋學,謝志豪,海研232,(二) 9:10~11:20
241 U2000,水聲海洋學,黃千芬,海研110教室,(二) 9:10~11:20
241 U2070,魚類學特論,蕭仁傑,海研231,(四) 13:20~14:20
241 U3050,海洋地質地化儀器分析實務,王珮玲,海研115,(三) 15:30~15:30
241 U5050,R在生態資料分析之應用,單偉彌,海研231,(二) 13:20~15:30
241 U6020,族群生態與漁業資源永續,張以杰,海研232,(一) 13:20~15:30
241 U6050,現代水生生物研究實驗,曾庸哲,海研110教室,(五) 13:20~15:30
241 U6080,漁業資源評估專題研究(二),張以杰,115研討室,(五) 10:20~11:20
241 U6110,海洋熱液系統,林卉婷,海研231,(五) 10:20~11:20
241 U6200,地球物理基礎數學,張翠玉,海研231,(二) 10:20~11:20
241 U6210,上層海洋邊界層物理,許哲源,海研115,(四) 10:20~11:20
241 U6250,化學海洋概論,謝玉德,海研大講堂,(二) 10:20~10:20
241 U6260,生物海洋概論,鍾明宗,海研大講堂,(一) 10:20~10:20
241 U6270,沈積地層學概論,張日新,海研110教室,(二) 13:20~14:20
241 U6320,海洋監測與技術,張明輝,海研231,(四) 15:30~15:30
241 U6340,地質歷史與環境變遷,黃致展,海研115,(一) 13:20~14:20
241 U6360,海洋生態永續專題,謝志豪,海研110教室,(四) 11:20~11:20
241 U6370,海洋實驗、現象分析與數值模擬,詹  森,海研231,(四) 9:10~11:20
241 U6380,海洋資源學,許鶴瀚,海研232,(三) 10:20~11:20
241 U6400,分子親緣關係學,陳韋仁,海研115,(一) 15:30~16:30
241 U6410,實測資料分析,張明輝,115研討室,(二) 15:30~16:30
241 U6450,地質年代學概論,何亞倫,海研115,(三) 10:20~11:20
241 U6460,海洋無脊椎動物學（一）,李  欣,海研115,單週 (五) 14:20~16:30
241 U6510,深海生態學,魏志潾,海研231,(一) 13:20~15:30
241 U6520,浮游生物生態學,何珮綺,海研110教室,(五) 9:10~11:20
241 U6530,利用深海底泥了解氣候變遷,賀詩琳,海研115,(二) 10:20~11:20
241 U6540,頭足類生態,鍾明宗,115研討室,(一) 15:30~16:30
241 U6550,微生物海洋學,葉怡君,海研110教室,(一) 13:20~15:30
241 U6560,海洋元素循環與環境變遷,簡嘉德,115研討室,(四) 10:20~11:20
244 D1040,粒子天文物理學,裴思達,天數812,(四) 14:20~16:30
244 D1160,宇宙大尺度結構一,闕志鴻,天數812,(五) 13:20~15:30
244 D1190,恆星天文物理,吳柏鋒,天數812,(一) 15:30~16:30 (三) 15:30~16:30
244 D1200,天文數據分析,藍鼎文,天數812,(二) 9:10~11:20
244 D1210,天文輻射物理,胡德邦,天數812,(二) 16:30~18:25
